detection_type,filename,val_loss,val_psnr,val_ssim,dmd_time
Direct Detection,10pd87p5n40by40and240m,0.03999,20.35026,0.851607,700
Direct Detection,10pd25n40by40and240m,0.077722,17.324419,0.707645,200
Direct Detection,10pd37p5n40by40and240m,0.056268053,18.74131489,0.777016461,300
Direct Detection,10pd75n40by40and240m,0.044236,19.793605,0.837648,600
Direct Detection,10pd15n40by40and240m,0.102,16.01682377,0.617419437,120
Direct Detection,10pd62p5n40by40and240m,0.045402,19.658456,0.831607,500
Direct Detection,10pd100n40by40and240m,0.037568722,20.66784906,0.867246494,800
Direct Detection,10pd50n40by40and240m,0.051887,19.135613,0.777016,400
QPMS,sa15fv40by40and240m,0.023126441,22.82751608,0.926628307,300
QPMS,s40fv40by40and240m,0.016687756,24.80336761,0.947027266,800
QPMS,s5fv40by40and240m,0.029764752,21.77738237,0.894195259,100
QPMS,s20fv40by40and240m,0.020319612,23.56385803,0.935198009,400
QPMS,s25fv40by40and240m,0.019699459,23.50433826,0.934899181,500
QPMS,s35fv40by40and240m,0.016770016,24.84064245,0.948540255,700
QPMS,3fv40by40and240m,0.027431612,22.02189541,0.900958717,60
QPMS,s30fv40by40and240m,0.016495089,24.71955824,0.951111019,600
QPMS,sa10fv40by40and240m,0.023584517,22.97033644,0.925008312,200
