detection_type,filename,val_loss,val_psnr,val_ssim,num_features
Direct Detection,10p1tnd40by40and240m,0.18713584542274475,13.66227126121521,0.36924072355031967,300
Direct Detection,10p1tnd40by40and240m,0.1885676346719265,13.559446096420288,0.3571251407265663,200
Direct Detection,10p1tnd40by40and240m,0.20888463780283928,13.061530828475952,0.29410601407289505,100
Direct Detection,10p1tnd40by40and240m,0.2135200947523117,12.98736834526062,0.29127659648656845,75
Direct Detection,10p1tnd40by40and240m,0.2221326157450676,12.744848728179932,0.2564071826636791,50
Direct Detection,10p1tnd40by40and240m,0.24479252845048904,12.347792863845825,0.20933153852820396,25
Direct Detection,10p1tnd40by40and240m,0.24778331443667412,12.22593069076538,0.18645800277590752,20
Direct Detection,10p1tnd40by40and240m,0.24718720465898514,12.116145610809326,0.18948480486869812,15
Direct Detection,10p1tnd40by40and240m,0.26440053433179855,12.106112241744995,0.15403862297534943,10
Direct Detection,10p1tnd40by40and240m,0.23263710364699364,12.624167442321777,0.18374377116560936,5
Direct Detection,10p1tnd40by40and240m,0.21856388449668884,13.014612197875977,0.20218126475811005,4
Direct Detection,10p1tnd40by40and240m,0.2280602641403675,12.754316568374634,0.19875505194067955,3
QPMS,s1tfv40by40and240m,0.018407050985842943,24.095298290252686,0.9429598748683929,300
QPMS,s1tfv40by40and240m,0.01887114206328988,23.772226810455322,0.9397384077310562,200
QPMS,s1tfv40by40and240m,0.019649562425911427,23.850022792816162,0.9401576519012451,100
QPMS,s1tfv40by40and240m,0.021454237401485443,23.501620769500732,0.931689903140068,75
QPMS,s1tfv40by40and240m,0.024083906784653664,22.842894554138184,0.918721467256546,50
QPMS,s1tfv40by40and240m,0.02854503970593214,21.863089561462402,0.8995460271835327,25
QPMS,s1tfv40by40and240m,0.03453077748417854,20.934823989868164,0.8752399682998657,20
QPMS,s1tfv40by40and240m,0.03873373381793499,20.238831996917725,0.8604667484760284,15
QPMS,s1tfv40by40and240m,0.05063045863062143,18.81115436553955,0.7983633428812027,10
QPMS,s1tfv40by40and240m,0.112598467618227,15.27449083328247,0.5559223145246506,5
QPMS,s1tfv40by40and240m,0.1516776867210865,14.162389755249023,0.4102282002568245,4
QPMS,s1tfv40by40and240m,0.1823541335761547,13.44468641281128,0.3260600045323372,3
